"filename", "language", "Python", "JSON", "pip requirements", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0003_rename_minimal_requirement_minimum_and_more.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0004_alter_game_background_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0005_alter_screenshot_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0006_game_price_in_cent.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0007_alter_game_background_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0008_rename_price_in_cent_game_price_in_cents.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0009_alter_esrbrating_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0010_alter_esrbrating_image.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\models.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 77
